Symbol,Name,Last Sale,Net Change,% Change,Market Cap
DRDBW,Roman DBDR Acquisition Corp. II Warrants,$0.67,0.03,4.688%,NA
DRH^A,Diamondrock Hospitality Company 8.250% Series A Cumulative Redeemable Preferred Stock,$25.27,-0.08,-0.316%,NA
DSM,"BNY Mellon Strategic Municipal Bond Fund, Inc. Common Stock",$6.05,0.03,0.498%,NA
DSU,"Blackrock Debt Strategies Fund, Inc. Common Stock",$10.20,0.02,0.196%,NA
DSX^B,Diana Shipping Inc. Perpetual Preferred Shares Series B (Marshall Islands),$27.14,UNCH,--,NA
DTK,DTE Energy Company 2025 Series H 6.25% Junior Subordinated Debentures due 2085,$25.11,0.01,0.04%,NA
DTSQ,DT Cloud Star Acquisition Corporation Ordinary Shares,$10.52,0.04,0.382%,NA
DUK^A,"Duke Energy Corporation Depositary Shares, each representing a 1/1,000th interest in a share of 5.75% Series A Cumulative Redeemable Perpetual Preferred Stock",$25.23,-0.01,-0.04%,NA
DX^C,"Dynex Capital, Inc. 6.900% Series C Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock",$25.86,0.22,0.858%,NA
DXYZ,Destiny Tech100 Inc. Common Stock,$24.65,-0.94,-3.673%,NA
DYCQ,DT Cloud Acquisition Corporation Ordinary Shares,$11.69,0.66,5.984%,NA
DYCQR,DT Cloud Acquisition Corporation Right,$0.2199,UNCH,--,NA
EAD,Allspring Income Opportunities Fund Common Shares,$6.85,0.05,0.735%,NA
ECC^D,Eagle Point Credit Company Inc. 6.75% Series D Preferred Stock,$19.58,0.055,0.282%,NA
ECCU,Eagle Point Credit Company Inc. 7.75% Notes due 2030,$25.00,-0.1069,-0.426%,NA
ECF,Ellsworth Growth and Income Fund Ltd.,$12.16,-0.12,-0.977%,NA
ECF^A,Ellsworth Growth and Income Fund Ltd. 5.25% Series A Cumulative Preferred Shares (Liquidation Preference $25.00 per share),$22.0451,UNCH,--,NA
EDD,"Morgan Stanley Emerging Markets Domestic Debt Fund, Inc. Common Stock",$5.38,0.12,2.281%,NA
EDF,Virtus Stone Harbor Emerging Markets Income Fund Common Shares of Beneficial Interest,$4.90,0.01,0.204%,NA
EEA,"The European Equity Fund, Inc. Common Stock",$10.88,-0.04,-0.366%,NA
EFC^A,Ellington Financial Inc. 6.750% Series A Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,$25.0776,-0.0024,-0.01%,NA
EFC^B,Ellington Financial Inc. 6.250% Series B Fixed-Rate Reset Cumulative Redeemable Preferred Stock,$23.5158,0.0485,0.207%,NA
EFC^C,Ellington Financial Inc. 8.625% Series C Fixed-Rate Reset Cumulative Redeemable Preferred Stock,$25.20,0.14,0.559%,NA
EFC^D,Ellington Financial Inc. 7.00% Series D Cumulative Perpetual Redeemable Preferred Stock,$24.39,0.379,1.578%,NA
EFR,Eaton Vance Senior Floating-Rate Fund Common Shares of Beneficial Interest,$11.22,0.04,0.358%,NA
EGHA,EGH Acquisition Corp. Class A Ordinary Shares,$10.08,UNCH,--,NA
EGHAR,EGH Acquisition Corp. Rights,$0.28,0.01,3.704%,NA
EGHAU,EGH Acquisition Corp. Unit,$10.33,0.12,1.175%,NA
EHI,Western Asset Global High Income Fund Inc Common Stock,$6.41,0.03,0.47%,NA
EICB,Eagle Point Income Company Inc. 7.75% Series B Term Preferred Stock Due 2028,$25.0831,-0.0067,-0.027%,NA
EICC,Eagle Point Income Company Inc. 8.00% Series C Term Preferred Stock due 2029,$25.15,0.035,0.139%,NA
EIIA,Eagle Point Institutional Income Fund 8.125% Series A Term Preferred Shares Due 2029,$25.09,0.06,0.24%,NA
EIM,"Eaton Vance Municipal Bond Fund Common Shares of Beneficial Interest, $.01 par value",$9.93,UNCH,--,NA
EMD,Western Asset Emerging Markets Debt Fund Inc Common Stock,$10.60,0.17,1.63%,NA
EMF,Templeton Emerging Markets Fund Common Stock,$16.93,-0.07,-0.412%,NA
EMO,ClearBridge Energy Midstream Opportunity Fund Inc. Common Stock,$42.31,-0.01,-0.024%,NA
EMPD,Empery Digital Inc. Common stock,$6.96,-0.05,-0.713%,NA
ENX,"Eaton Vance New York Municipal Bond Fund Common Shares of Beneficial Interest, $.01 par value",$9.98,UNCH,--,NA
EOD,Allspring Global Dividend Opportunity Fund Common Shares of Beneficial Interest,$5.73,0.01,0.175%,NA
EOI,Eaton Vance Enhance Equity Income Fund Eaton Vance Enhanced Equity Income Fund Shares of Beneficial Interest,$20.51,0.06,0.293%,NA
EOS,Eaton Vance Enhance Equity Income Fund II Common Stock,$23.44,0.11,0.471%,NA
